defect_id,severity,category,description,file_affected,lines_affected,status,fix_applied,fix_commit,fix_description,verified
D1-STAGE-B,"P0","broken-internal-links","4 entries in lib/related-guides.ts used stale short slugs that matched no published guides — 4 visa guide pages silently showed 0 related guides","lib/related-guides.ts","13-32","FIXED","yes","01e6351","Updated all 4 key/value pairs to use correct full slug names (with -visa and -country suffixes)","yes — build 92/92 post-fix"
D2-STAGE-B,"P1","missing-structured-data","Calendar detail pages (EN + RU /calendar/[slug]) had no page-specific JSON-LD structured data — only OrgSchema from layout","app/(en)/(public)/calendar/[slug]/page.tsx; app/ru/calendar/[slug]/page.tsx","N/A (missing code)","FIXED","yes","a9875e9 (Stage E)","Added WebPage + BreadcrumbList JSON-LD to both EN and RU calendar detail page components","yes — build 92/92 post-fix"
D3-STAGE-B,"P1","sitemap-freshness","Sitemap used static SITE_BUILD = new Date('2026-07-19') for lastModified on all 92 pages — no per-record updated_at","app/sitemap.ts","20,153,160","FIXED","yes","a9875e9 (Stage E)","Refactored sitemap to derive per-record lastModified from DB updated_at column for guides, calendar, events, news. Static hub pages retain SITE_BUILD fallback.","yes — sitemap now returns DB dates"
D4-STAGE-D-P0,"P0","factual-date-error","Richard Marx OCT-06-MARX stored as 2026-10-05 but all T1 sources confirm date is 2026-10-03 — EN/RU labels, briefs, noindex_after all referenced wrong date","data/guides.db (october-2026-dubai-calendar.dates_json)","N/A (DB data)","FIXED","yes","5b19741","Corrected date to 2026-10-03; updated EN/RU labels and briefs; updated noindex_after to 2026-10-04; updated source_url to CCA official","yes — DB query confirmed date=2026-10-03"
D5-STAGE-D,"P1","factual-date-error","Boris Grebenshikov OCT-R2 stored as 2026-10-24 but T1 (The Agenda official) confirms date is 2026-10-29 — labels and briefs referenced wrong date","data/guides.db (october-2026-dubai-calendar.dates_json)","N/A (DB data)","FIXED","yes","8bb1e52","Corrected date to 2026-10-29; updated EN/RU labels and briefs; updated noindex_after to 2026-10-30","yes — DB query confirmed date=2026-10-29"
G1-STAGE-B,"P2","missing-reader-field","getRecentPublishedGuides, getNewsPostBySlug, getEventBySlug, getCalendarPageBySlug did not return updatedAt in their result objects — required after updatedAt added to interfaces","lib/db/reader.ts; lib/db/news-events-calendar.ts","multiple","FIXED","yes","a9875e9 (Stage E)","Added updatedAt to all four reader functions; added GuideListItem.updatedAt field; added updatedAt:'' fallback for RU locale path that uses custom select without that column","yes — 0 TypeScript errors post-fix"
G2-STAGE-C,"P2","outdated-doc-reference","Historical Phase 6C docs (UAE_CALENDAR_IMPORT_CANDIDATE_PACK, UAE_CALENDAR_DETAIL_PAGE_STRATEGY) still reference Richard Marx as Oct 5 — these are historical artefacts not live content","docs/content-drafts/calendar/UAE_CALENDAR_*.md","N/A","DOCUMENTED","no (historical)","N/A","These files are pre-Phase-6D research artefacts predating the P0 fix. They are not live code or live content. No update required — the fix is in the DB and recorded in the defect matrix.","yes — confirmed these files are not imported or rendered"
D6-FINAL-CORRECTION,"P1","dead-external-link","OCT-06-MARX source_url and cta_url both pointed to Platinumlist event/105069 which returns 404 — calendar brief showed broken CTA for Richard Marx tickets","data/guides.db (october-2026-dubai-calendar.dates_json)","N/A (DB data)","FIXED","yes","pending 6D-FINAL-CORRECTION-01 commit","Replaced source_url and cta_url with CCA official page (coca-cola-arena.com/music/1837/richard-marx); updated source_label_en/ru to remove Platinumlist reference","yes — DB query confirmed new URL"
D7-FINAL-CORRECTION,"P1","venue-inaccuracy","DEC-04-GITEX calendar label/brief said 'at Expo City Dubai (7-11 December)' — misleading because Dec 7 Scale Summit runs at DWTC, not Expo City","data/guides.db (december-2026-uae-calendar.dates_json)","N/A (DB data)","FIXED","yes","pending 6D-FINAL-CORRECTION-01 commit","Updated label_en/ru to name both venues; updated brief_en/ru to clearly state Scale Summit Dec 7 at DWTC and main expo Dec 8-11 at Expo City","yes — DB query confirmed new labels and briefs"
D8-FINAL-CORRECTION,"P2","count-error-in-docs","Audit report 6d-calendar-q3q4-2026-audit.md and monthly coverage CSV reported October Phase 6D additions as +11 new; correct count is +12 (5 Batch-02 + 7 Batch-03); pre-6D count was 14 not 15","docs/content-drafts/seo/6d-calendar-q3q4-2026-audit.md; docs/content-drafts/seo/data/6d-monthly-coverage-summary.csv","lines 154,173,241,332,504; Oct row","FIXED","yes","pending 6D-FINAL-CORRECTION-01 commit","Corrected all count references in audit report and CSV; total Phase 6D new is 26 items (not 25)","yes — DB item count confirmed 26 total Oct, 12 new"
D9-FINAL-CORRECTION,"P1","factual-date-error-in-docs","Audit report line 91 stated F1 race 'Dec 5-7' — wrong; race is Sunday 6 December 2026; DB calendar item DEC-03-F1 has correct dates (Dec 4-6)","docs/content-drafts/seo/6d-calendar-q3q4-2026-audit.md","line 91","FIXED","yes","pending 6D-FINAL-CORRECTION-01 commit","Corrected audit report to: F1 GP weekend Dec 4-6; race day Sunday Dec 6","yes — DB DEC-03-F1 confirmed period_end=2026-12-06"
G3-FINAL-CORRECTION,"P2","content-stub-13-items","13 pre-Phase-6D calendar items have brief_en and brief_ru BOTH empty — not just brief_ru as previously characterised; CalendarBriefSection omits these from expandable-brief section on BOTH EN and RU pages","data/guides.db (Aug×2, Sep×6, Oct×3, Nov×1, Dec×1)","N/A (DB data)","DOCUMENTED","no (P1 backlog)","N/A","Correctly characterised as content stubs affecting both locales equally; P1 backlog — add brief_en + brief_ru per item using only verified facts","yes — confirmed via DB read of all 13 items"
